index,image,width,height,depth_min,depth_max,checkpoint,denoise_steps,ensemble_size,processing_res,npy_dtype,elapsed_ms,output_png,output_npy
1,01__DSC00001,1536,1024,0.0,1.0,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/01__DSC00001.png,marigold-other/01__DSC00001.npy
2,01__DSC00086,1536,1024,0.0,1.0,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/01__DSC00086.png,marigold-other/01__DSC00086.npy
3,02__DSC00081,1024,1536,0.0,0.991699,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00081.png,marigold-other/02__DSC00081.npy
4,02__DSC00083,1024,1536,0.0,0.956055,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00083.png,marigold-other/02__DSC00083.npy
5,02__DSC00510,1536,1024,0.0,0.999023,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00510.png,marigold-other/02__DSC00510.npy
6,02__DSC00511,1536,1024,0.0,0.960449,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00511.png,marigold-other/02__DSC00511.npy
7,02__DSC00512,1536,1024,0.0,0.948242,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00512.png,marigold-other/02__DSC00512.npy
8,02__DSC00514,1536,1024,0.0,0.998047,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00514.png,marigold-other/02__DSC00514.npy
9,02__DSC00515,1536,1024,0.0,0.977539,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00515.png,marigold-other/02__DSC00515.npy
10,02__DSC00516,1024,1536,0.0,0.944336,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00516.png,marigold-other/02__DSC00516.npy
11,02__DSC00517,1536,1024,0.0,0.983887,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00517.png,marigold-other/02__DSC00517.npy
12,02__DSC00518,1536,1024,0.0,0.938477,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00518.png,marigold-other/02__DSC00518.npy
13,02__DSC00519,1536,1024,0.0,0.989258,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00519.png,marigold-other/02__DSC00519.npy
14,02__DSC00520,1536,1024,0.0,0.950195,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00520.png,marigold-other/02__DSC00520.npy
15,02__DSC00521,1536,1024,0.0,0.982422,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/02__DSC00521.png,marigold-other/02__DSC00521.npy
16,03__DSC00509,1536,1024,0.009888,0.299561,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/03__DSC00509.png,marigold-other/03__DSC00509.npy
17,03__DSC00513,1536,1024,0.0,0.999023,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/03__DSC00513.png,marigold-other/03__DSC00513.npy
18,04__寰俊鍥剧墖_20260604161644_429_42,1536,1152,0.0,1.0,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/04__寰俊鍥剧墖_20260604161644_429_42.png,marigold-other/04__寰俊鍥剧墖_20260604161644_429_42.npy
19,04__寰俊鍥剧墖_20260604161727_430_42,1536,1152,0.0,1.0,prs-eth/marigold-depth-v1-1,1,10,native,float32,,marigold-other/04__寰俊鍥剧墖_20260604161727_430_42.png,marigold-other/04__寰俊鍥剧墖_20260604161727_430_42.npy
