image,pair_id,gt_closer,pred_closer,correct,zA,zB
web/web001.jpg,1,B,A,0,0.8708,1.0
web/web001.jpg,2,B,A,0,0.8067,0.8313
web/web001.jpg,3,B,B,1,0.8623,0.5683
web/web001.jpg,4,B,B,1,0.6364,0.518
web/web001.jpg,5,B,A,0,0.9732,0.9758
web/web002.jpg,1,B,B,1,0.0684,0.0549
web/web002.jpg,2,A,A,1,0.0046,0.2114
web/web002.jpg,3,B,B,1,0.1075,0.075
web/web002.jpg,4,B,B,1,0.2021,0.068
web/web002.jpg,5,A,A,1,0.2603,0.3068
web/web003.jpg,1,B,B,1,0.5274,0.0139
web/web003.jpg,2,A,A,1,0.0309,0.5219
web/web003.jpg,3,B,B,1,0.5899,0.0174
web/web003.jpg,4,B,B,1,0.0315,0.0151
web/web003.jpg,5,A,A,1,0.5257,0.5885
web/web004.jpg,1,B,B,1,0.7156,0.4641
web/web004.jpg,2,B,B,1,0.0862,0.045
web/web004.jpg,3,B,B,1,0.3255,0.1133
web/web004.jpg,4,B,B,1,0.7728,0.5316
web/web004.jpg,5,B,B,1,0.7671,0.1962
web/web005.jpg,1,A,A,1,0.0332,0.0494
web/web005.jpg,2,B,B,1,0.4663,0.0535
web/web005.jpg,3,B,A,0,0.8198,0.8227
web/web005.jpg,4,A,B,0,0.6362,0.5461
web/web005.jpg,5,A,B,0,0.7693,0.469
web/web006.jpg,1,A,A,1,0.7474,0.7842
web/web006.jpg,2,A,A,1,0.1457,0.7571
web/web006.jpg,3,A,A,1,0.1126,0.7077
web/web006.jpg,4,A,A,1,0.1797,0.8054
web/web006.jpg,5,A,A,1,0.1201,0.6367
web/web007.jpg,1,A,A,1,0.1042,0.599
web/web007.jpg,2,A,A,1,0.0262,0.1066
web/web007.jpg,3,A,A,1,0.2946,0.9315
web/web007.jpg,4,A,B,0,0.1106,0.1057
web/web007.jpg,5,A,A,1,0.5965,0.7939
